l,m,C,S
30,15,7.570071377916658e-31,-1.2277953871409329e-30
30,16,-4.645163141747243e-31,1.8214670525663943e-31
30,17,-1.1800705265432775e-32,-1.0073603921849049e-32
30,18,-7.658733666847344e-34,-5.467060833640759e-34
30,19,-3.8572606162483345e-35,7.780102501814013e-36
30,20,-6.3007502110649535e-37,1.6094476438913158e-36
30,21,-6.230134392027268e-38,-2.962044961882886e-38
30,22,-1.2947741613913145e-39,-2.150591986258091e-39
30,23,6.467315346337847e-41,-1.3162413649078148e-40
30,24,-1.688715837069166e-42,-1.5901941808402502e-42
30,25,1.0448854770984926e-43,-5.338231057890789e-43
30,26,2.7510106456558483e-45,2.5469631343571928e-44
30,27,-1.0387917512433835e-45,1.6870829807973215e-45
30,28,-5.934532187773435e-47,-8.245533319804549e-47
30,29,3.693931850389227e-48,1.7602712289440054e-48
30,30,3.1345561554133323e-49,1.0260802328328033e-48
31,0,5.365225644991226e-08,0.0
31,1,2.537824817600595e-09,-6.585083611119691e-09
31,2,7.09238972339892e-11,5.7959953674659556e-11
31,3,-2.3791390819930974e-12,-2.7209532924296825e-12
31,4,1.3125688020964981e-13,-5.964531712802427e-14
31,5,-4.243514080014281e-15,2.0168392914275854e-15
31,6,-1.014110738446859e-18,-3.520554769277796e-18
31,7,-5.826482616660755e-19,-5.188338834129089e-19
31,8,-3.9591041772634843e-20,2.7040253729660492e-20
31,9,3.7722460390725195e-22,2.436881658480983e-21
31,10,6.061553817497475e-23,-6.786757703389474e-23
31,11,9.277765686318179e-25,1.0138102407052798e-23
31,12,9.134061758055947e-27,6.364366416853736e-26
31,13,5.3748800726739616e-27,2.5707846601637213e-27
31,14,-1.559192277653849e-28,6.259946959736315e-29
31,15,2.8778937184016434e-30,-1.6360892067019956e-30
