l,m,C,S
21,6,-5.966745268430532e-15,-4.10932405410415e-14
21,7,-1.8540343575763013e-15,3.0592749145751736e-15
21,8,-2.0005178463968546e-16,-7.44764420007637e-18
21,9,7.1700174456529035e-19,-6.746389016332957e-18
21,10,3.106591398284879e-19,-3.691750799355306e-20
21,11,-1.0731111868412788e-20,-6.054802140440302e-21
21,12,-5.602836816759438e-22,7.635825697329455e-22
21,13,-2.9378563848130234e-23,-1.926908691958315e-23
21,14,-1.0389024627426367e-24,2.2460945760597402e-24
21,15,-1.556483742235113e-25,7.859797840144578e-26
21,16,3.1035599261523204e-26,-7.92278890604929e-27
21,17,1.7166494879922515e-27,2.924745571856693e-27
21,18,-1.7463828653813156e-29,-9.604960923633915e-29
21,19,2.7175621533221493e-29,2.250048493163826e-30
21,20,-7.138242157368092e-31,4.074247897278352e-30
21,21,-8.33463166248092e-32,8.038326995187121e-32
22,0,-5.521050677271354e-07,0.0
22,1,-1.273251985029324e-07,1.0618195339940501e-07
22,2,-6.88787214222117e-09,-1.7308860673875573e-09
22,3,4.931698095854475e-10,5.528909578346316e-10
22,4,1.3469051019278029e-11,2.9499254900777868e-12
22,5,8.237772238880473e-13,-1.3224705986083577e-12
22,6,-1.853375754958816e-14,1.3949718408988568e-14
22,7,1.335713425778463e-15,2.434414002067761e-15
22,8,3.003759775203701e-17,-6.956343451095514e-17
22,9,6.111712463839386e-18,9.666009776020227e-19
22,10,-1.5519862795598478e-19,2.4549946864880633e-19
22,11,-7.404087928623548e-21,-1.4429621839017994e-20
22,12,-2.676009050973731e-24,3.87976839709456e-23
22,13,-1.8949493170389567e-23,1.1030645226154448e-23
22,14,-2.914807546433939e-24,3.704239597697201e-24
22,15,-3.8658708809097826e-26,-3.186175100677418e-26
22,16,-6.899282058452797e-27,5.295949090802378e-27
22,17,-5.183854667301638e-28,-5.708530925135615e-29
22,18,2.6698383619467865e-29,-1.3615264597999895e-29
22,19,-2.010078349951872e-30,1.296652356609063e-30
22,20,2.395333746487494e-31,-1.8222089283644962e-31
22,21,-6.50080415874376e-33,2.830142212688362e-33
22,22,2.0433720781791168e-33,3.835213893502273e-33
23,0,-2.6547686318933455e-06,0.0
23,1,1.1528229175132554e-07,-3.4413047223386354e-07
23,2,8.123577122126883e-09,-1.6196196600037554e-09
23,3,-5.240333218836419e-10,2.4144816833009387e-10
23,4,1.328936817076951e-11,-1.9487395897628293e-11
23,5,-3.196386177504859e-13,1.0219654915129851e-12
23,6,2.4547489738919694e-14,6.367385104911248e-15
23,7,1.1369217169580542e-15,-2.1072527353571216e-15
23,8,4.2451262728202723e-17,-4.318624425439836e-17
23,9,5.683016272644981e-18,4.085322580219824e-19
23,10,-1.8058059127544938e-19,4.4094928902530126e-20
23,11,3.088746524049976e-22,1.9877475602551464e-21
23,12,1.9364855398999883e-22,-2.845921506569389e-22
23,13,-2.3679659960742043e-23,6.738162886168912e-24
23,14,1.1814231843982853e-24,-6.738881750885973e-25
23,15,2.3654589861812487e-26,5.481690004756872e-27
23,16,-2.7564303496773732e-27,1.262872748508675e-27
23,17,-9.51022276379038e-29,-1.1098862404015603e-28
23,18,-6.696478565606567e-31,5.5713908675173136e-30
23,19,-5.067333161268161e-33,-7.743186838062736e-32
23,20,-2.042673331219658e-33,3.6723674339620805e-32
23,21,-4.974832724902753e-33,2.538396925770677e-33
23,22,-8.7060445223444e-34,-4.394804286946783e-34
23,23,-1.3913034664313507e-34,3.146824232613731e-35
24,0,1.2254917097499998e-08,0.0
24,1,1.362723377302634e-07,-1.1093808643852966e-07
24,2,6.993795514452645e-09,6.056471759753753e-09
24,3,-7.064626246911595e-11,-6.45548555569859e-10
24,4,1.4518493018309326e-11,5.408489621384421e-12
24,5,5.963821515131036e-14,-1.1674051238257144e-13
24,6,-1.8556796134782706e-14,1.3547815745722571e-15
24,7,7.137627616326348e-16,3.0176639630409385e-16
24,8,4.766623406617995e-17,1.898265138076521e-17
24,9,-2.32956256530584e-18,-2.751092140410388e-19
24,10,-7.366684290600138e-20,2.291966308485016e-20
24,11,1.548382470491199e-21,-2.9161262177442763e-21
24,12,4.278890918538311e-22,-1.3117693051646824e-23
24,13,5.6622790664469605e-24,-6.4013402298075176e-24
24,14,6.777131368161931e-25,-5.336354002010951e-25
24,15,-7.66158025392681e-27,1.5788880683408648e-26
24,16,5.729836835191477e-28,-4.663796802397617e-28
24,17,7.141168735267794e-29,3.114040135124705e-29
24,18,-7.024595446028843e-30,-4.652387241302797e-30
24,19,2.056227455354509e-31,-2.779296569280302e-31
24,20,-1.0340221087196837e-32,-5.153289480447237e-33
24,21,6.5694659713470455e-34,3.4970055774840145e-34
24,22,2.1920703597717063e-35,1.3697447092278659e-34
24,23,-3.1295173503989313e-37,-6.899636004699138e-36
24,24,2.748643330085438e-36,-2.6335602800063142e-36
25,0,-1.5383962576282058e-06,0.0
25,1,-1.8619659720641938e-08,2.095234685326717e-07
25,2,-1.0346708405192472e-08,8.829038731469823e-10
25,3,4.1335668050145886e-10,-8.85628988063547e-11
25,4,-1.3999681145887583e-11,-1.853379775651604e-12
25,5,1.9125409569820134e-13,7.820852280934908e-13
25,6,-9.97565994396397e-15,1.2946778229303917e-14
25,7,1.0903090918053939e-15,1.5204107097290825e-15
25,8,-6.44115681378843e-17,6.445530495598717e-17
25,9,-9.68624792065012e-19,2.6525123795241385e-19
25,10,-2.978173590321213e-21,8.120573423196666e-20
25,11,-1.2281564138824818e-22,-1.937169026317242e-21
25,12,2.7165075921893557e-23,4.395927239046893e-25
25,13,3.092962630044691e-24,2.6323256318695235e-24
25,14,-2.8694345002229204e-25,3.0507725593742505e-25
25,15,3.0629436153848568e-27,9.121308319313862e-28
25,16,2.3566403150429853e-28,-6.217871296612367e-28
25,17,1.8954303412611598e-30,-2.647081158409569e-29
25,18,-2.406762743180295e-31,3.812600707504753e-31
25,19,-1.3596810658845543e-31,-2.2740094632728108e-32
25,20,-4.809726525700687e-34,-4.052878460125371e-33
25,21,4.57054070752152e-34,-1.9018700214279903e-34
25,22,-1.6214615069947838e-35,-3.845281325150857e-35
25,23,3.754516455928167e-36,-1.4332473893652037e-36
25,24,3.786374963399824e-37,-1.016176104316964e-38
25,25,-7.818229812640544e-39,3.2372767807525175e-38
26,0,1.982699770377576e-07,0.0
26,1,6.246157106509064e-08,8.675813818214451e-08
26,2,9.671663723175908e-09,-2.9087570586056604e-09
26,3,1.0811047788016306e-10,3.6877138595066387e-10
26,4,7.35240343552025e-12,5.348518736574265e-12
26,5,5.345621586935419e-14,-6.285752144730238e-13
26,6,-1.6260667437336677e-14,-4.312463206960996e-15
26,7,1.2206637507984162e-17,-5.370070351223196e-16
26,8,-8.414393232700173e-20,7.03195916381136e-18
26,9,1.104635641560286e-19,1.3406371475853373e-18
26,10,-2.3950084142397617e-20,-7.83519012107416e-22
26,11,5.16780082890506e-22,1.0391317891175343e-21
26,12,-5.600552154323588e-23,-1.0529791655523315e-22
26,13,7.333153220002104e-25,2.408024218586042e-24
26,14,-3.006722493336255e-26,2.278927458526515e-26
26,15,5.095676670825237e-28,-2.871461303988382e-27
26,16,-5.41004419753474e-29,2.0858792755029165e-28
26,17,-9.068441475990371e-30,2.080928070491228e-30
26,18,1.0255887228430634e-32,3.7954305545045025e-31
26,19,-1.2998016241345573e-32,1.396396797678095e-32
26,20,-9.816695136971228e-34,2.5450825124015463e-33
26,21,-1.1631760621173562e-34,-1.2013667843488859e-34
26,22,-1.3457749959802588e-35,1.218654032858463e-35
26,23,1.0546007566550752e-37,-6.096340791942995e-38
26,24,-6.052267384628654e-38,-1.4614053597402054e-39
26,25,6.0516329029715715e-40,-2.8173922199459934e-40
26,26,1.2122898453264925e-40,5.4899580670264725e-40
27,0,-4.746641892001983e-06,0.0
27,1,2.336955711584351e-07,9.688693322301507e-09
27,2,-2.839599452753501e-09,-5.969164540664683e-09
27,3,2.8457535789536613e-10,4.263723967637786e-11
27,4,-7.33915305647838e-12,5.9735615434967415e-12
27,5,-4.747128143183842e-13,8.266887424643798e-15
27,6,1.7572083708861214e-17,1.1832077419742347e-14
27,7,2.456058658713388e-16,-3.3819484049604056e-16
27,8,1.6493185098581495e-18,-2.808998722941759e-18
27,9,-8.503180793458725e-19,1.3915044293383748e-19
27,10,3.355641341396272e-21,-3.3765313353221314e-20
27,11,7.327556626443624e-22,-9.184074688962272e-22
27,12,-3.673811632644828e-23,-4.397403702237985e-23
27,13,7.958586868284085e-25,-5.0519015661003395e-25
27,14,6.631644665732372e-26,-1.042543327476338e-25
27,15,3.748181059937691e-28,2.4840759251861967e-27
27,16,4.0127090682848053e-29,1.053399056332385e-28
27,17,2.255796254636827e-30,8.410377257217986e-30
27,18,1.2132007486627522e-31,-3.8937945760929897e-31
27,19,1.9567487897324727e-33,-5.4678406312691175e-33
27,20,5.802262224301008e-34,-7.589827182571566e-34
27,21,3.5459255373392736e-35,-3.67740660237201e-35
27,22,3.660793665950719e-36,4.1075117716365986e-36
27,23,-1.759941314473497e-38,-1.8833313058319005e-37
27,24,1.5812991239784765e-38,-3.3269449044401294e-39
27,25,-6.206372036081348e-40,9.50846013591911e-40
27,26,-7.104027641005512e-41,-1.1595847262758042e-40
27,27,-9.192299055426697e-42,-6.151606482832008e-42
28,0,6.331359066593331e-06,0.0
28,1,1.470412884282229e-08,2.960217337464833e-07
28,2,-4.265120643779688e-10,9.415824787363384e-09
28,3,-1.4120713077611623e-10,-3.744170790817913e-11
28,4,-1.507344619846894e-11,1.024034600882043e-12
28,5,8.188225725595688e-14,2.875239141797955e-14
28,6,9.807736139641171e-15,7.137204182192673e-16
28,7,-2.806612074413102e-16,1.9683877768723107e-16
28,8,-3.8483571808897935e-18,8.687787377646336e-19
28,9,-4.3003088258750447e-19,-8.839402576484959e-20
28,10,-1.3012431872381976e-20,-3.3753983282875455e-20
28,11,2.604836157079833e-22,-6.408942953209569e-23
28,12,6.143640382966432e-24,-2.6861663834697287e-24
28,13,8.276102713185913e-25,-7.246704896058625e-25
28,14,3.08766693734645e-26,-2.4917828810427125e-26
28,15,-1.5094029351249465e-27,1.1765973514722203e-27
28,16,-3.381622090655746e-29,-1.209353478215348e-28
28,17,-4.893927411847121e-31,-1.2072438635218112e-30
28,18,-2.4530042811526453e-32,1.7683706433081184e-31
28,19,-2.0766520856400237e-33,-4.248758881328301e-34
28,20,1.728243844106115e-34,-3.449722519449567e-34
28,21,-7.831489362987318e-36,2.1040871124501495e-36
28,22,-1.0196007230178925e-36,-1.602903068391698e-37
28,23,-9.313297271442047e-40,2.297206736238406e-38
28,24,2.3592480236643497e-39,7.521639962719885e-41
